"URN","LA (code)","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
115850,"850","Alton Infant School","Local authority maintained schools","Primary","Does not apply","24","East Hampshire","Good"
115851,"850","Anstey Junior School","Local authority maintained schools","Primary","Does not apply","16.5","East Hampshire","Good"
115852,"850","Balksbury Junior School","Local authority maintained schools","Primary","Does not apply","9.9","Test Valley","Good"
115853,"850","Portway Junior School","Local authority maintained schools","Primary","Does not apply","13.9","Test Valley","Good"
115854,"850","Anton Junior School","Local authority maintained schools","Primary","Does not apply","5.9","Test Valley","Outstanding"
115855,"850","Ashley Infant School","Local authority maintained schools","Primary","Does not apply","17.1","New Forest","Good"
115857,"850","Portway Infant School","Local authority maintained schools","Primary","Does not apply","9.2","Test Valley","Outstanding"
115858,"850","Winklebury Junior School","Local authority maintained schools","Primary","Does not apply","20.4","Basingstoke and Deane","Good"
115859,"850","Oakridge Infant School","Local authority maintained schools","Primary","Does not apply","8.9","Basingstoke and Deane","Outstanding"
115860,"850","South View Junior School","Local authority maintained schools","Primary","Does not apply","31.2","Basingstoke and Deane","Good"
115861,"850","Beaulieu Village Primary School","Local authority maintained schools","Primary","Does not apply","7.3","New Forest","Good"
115862,"850","Stoke Park Infant School","Local authority maintained schools","Primary","Does not apply","8.6","Eastleigh","Good"
115863,"850","Bishops Waltham Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Winchester","Outstanding"
115865,"850","Bordon Infant School","Local authority maintained schools","Primary","Does not apply","15.6","East Hampshire","Good"
115866,"850","Braishfield Primary School","Local authority maintained schools","Primary","Does not apply","9","Test Valley","Good"
115867,"850","Broughton Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Test Valley","Good"
115868,"850","Burghclere Primary School","Local authority maintained schools","Primary","Does not apply","5.5","Basingstoke and Deane","Good"
115869,"850","Buriton Primary School","Local authority maintained schools","Primary","Does not apply","14.4","East Hampshire","Good"
115870,"850","Burley Primary School","Local authority maintained schools","Primary","Does not apply","9.3","New Forest","Good"
115871,"850","Stoke Park Junior School","Local authority maintained schools","Primary","Does not apply","18.1","Eastleigh","Good"
115872,"850","Chandler's Ford Infant School","Local authority maintained schools","Primary","Does not apply","5.3","Eastleigh","Good"
115873,"850","Merdon Junior School","Local authority maintained schools","Primary","Does not apply","9.1","Eastleigh","Good"
115874,"850","Cheriton Primary School","Local authority maintained schools","Primary","Does not apply","5.3","Winchester","Outstanding"
115875,"850","North Baddesley Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Test Valley","Good"
115876,"850","Clanfield Junior School","Local authority maintained schools","Primary","Does not apply","8.9","East Hampshire","Good"
115877,"850","Cliddesden Primary School","Local authority maintained schools","Primary","Does not apply","10.4","Basingstoke and Deane","Good"
115878,"850","Crondall Primary School","Local authority maintained schools","Primary","Does not apply","9.4","Hart","Good"
115879,"850","Curdridge Primary School","Local authority maintained schools","Primary","Does not apply","14.4","Winchester","Good"
115880,"850","Crofton Anne Dale Junior School","Local authority maintained schools","Primary","Does not apply","8.3","Fareham","Good"
115881,"850","Droxford Junior School","Local authority maintained schools","Primary","Does not apply","4.9","Winchester","Outstanding"
115882,"850","Denmead Infant School","Local authority maintained schools","Primary","Does not apply","9.8","Winchester","Good"
115883,"850","Wildground Junior School","Local authority maintained schools","Primary","Does not apply","32.3","New Forest","Good"
115884,"850","Fryern Junior School","Local authority maintained schools","Primary","Does not apply","14.3","Eastleigh","Good"
115885,"850","Wildground Infant School","Local authority maintained schools","Primary","Does not apply","27.3","New Forest","Good"
115886,"850","The Crescent Primary School","Local authority maintained schools","Primary","Does not apply","15.6","Eastleigh","Good"
115887,"850","Cherbourg Primary School","Local authority maintained schools","Primary","Does not apply","26.7","Eastleigh","Good"
115888,"850","Shakespeare Infant School","Local authority maintained schools","Primary","Does not apply","12.3","Eastleigh","Outstanding"
115889,"850","Wallisdean Junior School","Local authority maintained schools","Primary","Does not apply","21.9","Fareham","Requires improvement"
115890,"850","Uplands Primary School","Local authority maintained schools","Primary","Does not apply","4.5","Fareham","Good"
115891,"850","Fair Oak Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Eastleigh","Outstanding"
115892,"850","Redlands Primary School","Local authority maintained schools","Primary","Does not apply","11.1","Fareham","Outstanding"
115893,"850","Wallisdean Infant School","Local authority maintained schools","Primary","Does not apply","21.4","Fareham","Outstanding"
115897,"850","Grateley Primary School","Local authority maintained schools","Primary","Does not apply","6.4","Test Valley","Good"
115898,"850","Greatham Primary School","Local authority maintained schools","Primary","Does not apply","5","East Hampshire","Good"
115899,"850","Waterside Primary School","Local authority maintained schools","Primary","Does not apply","27.3","New Forest","Good"
115900,"850","Hale Primary School","Local authority maintained schools","Primary","Does not apply","7.1","New Forest","Good"
115901,"850","Hamble Primary School","Local authority maintained schools","Primary","Does not apply","10.8","Eastleigh","Good"
115902,"850","Hambledon Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Winchester","Outstanding"
115903,"850","Oakwood Infant School","Local authority maintained schools","Primary","Does not apply","7.4","Hart","Outstanding"
115904,"850","Fairfield Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Havant","Good"
115908,"850","Riders Junior School","Local authority maintained schools","Primary","Does not apply","50.3","Havant","Good"
115909,"850","Riders Infant School","Local authority maintained schools","Primary","Does not apply","54.3","Havant","Requires improvement"
115911,"850","Trosnant Junior School","Local authority maintained schools","Primary","Does not apply","43.8","Havant","Good"
115912,"850","Trosnant Infant School","Local authority maintained schools","Primary","Does not apply","40.8","Havant","Good"
115913,"850","Hawley Primary School","Local authority maintained schools","Primary","Does not apply","2.6","Hart","Good"
115914,"850","Mill Rythe Junior School","Local authority maintained schools","Primary","Does not apply","10.3","Havant","Outstanding"
115915,"850","Tiptoe Primary School","Local authority maintained schools","Primary","Does not apply","8.3","New Forest","Good"
115916,"850","Hythe Primary School","Local authority maintained schools","Primary","Does not apply","10.9","New Forest","Requires improvement"
115918,"850","Freegrounds Infant School","Local authority maintained schools","Primary","Does not apply","9.7","Eastleigh","Good"
115919,"850","Bosmere Junior School","Local authority maintained schools","Primary","Does not apply","9.3","Havant","Good"
115920,"850","Itchen Abbas Primary School","Local authority maintained schools","Primary","Does not apply","6.8","Winchester","Good"
115921,"850","Ashford Hill Primary School","Local authority maintained schools","Primary","Does not apply","4.5","Basingstoke and Deane","Good"
115922,"850","Kings Worthy Primary School","Local authority maintained schools","Primary","Does not apply","10","Winchester","Good"
115924,"850","Langrish Primary School","Local authority maintained schools","Primary","Does not apply","1.9","East Hampshire","Good"
115925,"850","Liss Junior School","Local authority maintained schools","Primary","Does not apply","6.3","East Hampshire","Good"
115926,"850","Locks Heath Junior School","Local authority maintained schools","Primary","Does not apply","4.9","Fareham","Good"
115928,"850","New Milton Infant School","Local authority maintained schools","Primary","Does not apply","18.1","New Forest","Outstanding"
115929,"850","New Milton Junior School","Local authority maintained schools","Primary","Does not apply","22.3","New Forest","Good"
115931,"850","Newtown Soberton Infant School","Local authority maintained schools","Primary","Does not apply","6.6","Winchester","Good"
115932,"850","North Waltham Primary School","Local authority maintained schools","Primary","Does not apply","0.6","Basingstoke and Deane","Good"
115933,"850","Buryfields Infant School","Local authority maintained schools","Primary","Does not apply","6.9","Hart","Good"
115934,"850","Owslebury Primary School","Local authority maintained schools","Primary","Does not apply","15","Winchester","Good"
115935,"850","Northern Junior School","Local authority maintained schools","Primary","Does not apply","11.8","Fareham","Good"
115936,"850","Petersfield Infant School","Local authority maintained schools","Primary","Does not apply","9.9","East Hampshire","Outstanding"
115937,"850","Purbrook Infant School","Local authority maintained schools","Primary","Does not apply","17.1","Havant","Good"
115938,"850","Wicor Primary School","Local authority maintained schools","Primary","Does not apply","7.8","Fareham","Good"
115939,"850","Springwood Infant School","Local authority maintained schools","Primary","Does not apply","20.7","Havant","Good"
115940,"850","Herne Junior School","Local authority maintained schools","Primary","Does not apply","9.7","East Hampshire","Good"
115943,"850","Ringwood Junior School","Local authority maintained schools","Primary","Does not apply","8.3","New Forest","Good"
115944,"850","Cupernham Junior School","Local authority maintained schools","Primary","Does not apply","13","Test Valley","Good"
115945,"850","St Mary Bourne Primary School","Local authority maintained schools","Primary","Does not apply","4.4","Basingstoke and Deane","Outstanding"
115946,"850","Sheet Primary School","Local authority maintained schools","Primary","Does not apply","5.5","East Hampshire","Good"
115947,"850","Shipton Bellinger Primary School","Local authority maintained schools","Primary","Does not apply","2.3","Test Valley","Good"
115948,"850","Sopley Primary School","Local authority maintained schools","Primary","Does not apply","19.2","New Forest","Good"
115949,"850","Stockbridge Primary & Pre-School","Local authority maintained schools","Primary","Does not apply","5.8","Test Valley","Good"
115952,"850","Tadley Community Primary School","Local authority maintained schools","Primary","Does not apply","9.9","Basingstoke and Deane","Good"
115953,"850","Titchfield Primary School","Local authority maintained schools","Primary","Does not apply","10.6","Fareham","Good"
115954,"850","Lydlynch Infant School","Local authority maintained schools","Primary","Does not apply","21.7","New Forest","Good"
115955,"850","Eling Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","18.7","New Forest","Good"
115956,"850","Foxhills Junior School","Local authority maintained schools","Primary","Does not apply","11.7","New Forest","Good"
115957,"850","Wallop Primary School","Local authority maintained schools","Primary","Does not apply","8.8","Test Valley","Good"
115960,"850","Wherwell Primary School","Local authority maintained schools","Primary","Does not apply","7.1","Test Valley","Good"
115962,"850","Stanmore Primary School","Local authority maintained schools","Primary","Does not apply","27.8","Winchester","Requires improvement"
115963,"850","Winnall Primary School","Local authority maintained schools","Primary","Does not apply","42.2","Winchester","Good"
115964,"850","Padnell Junior School","Local authority maintained schools","Primary","Does not apply","9.3","Havant","Good"
115965,"850","Padnell Infant School","Local authority maintained schools","Primary","Does not apply","10","Havant","Good"
115966,"850","Hart Plain Infant School","Local authority maintained schools","Primary","Does not apply","31.6","Havant","Good"
115967,"850","Crofton Anne Dale Infant School","Local authority maintained schools","Primary","Does not apply","8.1","Fareham","Outstanding"
115968,"850","Fryern Infant School","Local authority maintained schools","Primary","Does not apply","8.2","Eastleigh","Good"
115970,"850","Vigo Primary School","Local authority maintained schools","Primary","Does not apply","26.5","Test Valley","Requires improvement"
115971,"850","Winklebury Infant School","Local authority maintained schools","Primary","Does not apply","21.6","Basingstoke and Deane","Good"
115972,"850","Shamblehurst Primary School","Local authority maintained schools","Primary","Does not apply","13.3","Eastleigh","Good"
115973,"850","Anton Infant School","Local authority maintained schools","Primary","Does not apply","10","Test Valley","Good"
115974,"850","Oakridge Junior School","Local authority maintained schools","Primary","Does not apply","16.8","Basingstoke and Deane","Good"
115975,"850","South View Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","26","Basingstoke and Deane","Good"
115976,"850","Church Crookham Junior School","Local authority maintained schools","Primary","Does not apply","5.2","Hart","Outstanding"
115977,"850","Orchard Infant School","Local authority maintained schools","Primary","Does not apply","9.3","New Forest","Outstanding"
115980,"850","Hiltingbury Infant School","Local authority maintained schools","Primary","Does not apply","4.2","Eastleigh","Outstanding"
115981,"850","Frogmore Infant School","Local authority maintained schools","Primary","Does not apply","4.2","Hart","Outstanding"
115982,"850","Horndean Infant School","Local authority maintained schools","Primary","Does not apply","10.8","East Hampshire","Outstanding"
115983,"850","Pennington Infant School","Local authority maintained schools","Primary","Does not apply","33.0","New Forest","Good"
115984,"850","Westfields Junior School","Local authority maintained schools","Primary","Does not apply","6.3","Hart","Outstanding"
115985,"850","Wootey Infant School","Local authority maintained schools","Primary","Does not apply","26.2","East Hampshire","Good"
115986,"850","Mengham Infant School","Local authority maintained schools","Primary","Does not apply","21.9","Havant","Good"
115988,"850","Orchard Junior School","Local authority maintained schools","Primary","Does not apply","13","New Forest","Good"
115989,"850","Locks Heath Infant School","Local authority maintained schools","Primary","Does not apply","4.3","Fareham","Outstanding"
115990,"850","Harrison Primary School","Local authority maintained schools","Primary","Does not apply","8.3","Fareham","Outstanding"
115991,"850","Warren Park Primary School","Local authority maintained schools","Primary","None","36.8","Havant","Outstanding"
115992,"850","Sun Hill Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Winchester","Outstanding"
115994,"850","Westfields Infant School","Local authority maintained schools","Primary","Does not apply","7.9","Hart","Good"
115997,"850","Fair Oak Junior School","Local authority maintained schools","Primary","Does not apply","11.6","Eastleigh","Good"
115998,"850","North Baddesley Junior School","Local authority maintained schools","Primary","Does not apply","9.4","Test Valley","Good"
115999,"850","Poulner Junior School","Local authority maintained schools","Primary","Does not apply","13.3","New Forest","Good"
116000,"850","Freegrounds Junior School","Local authority maintained schools","Primary","Does not apply","12.1","Eastleigh","Good"
116001,"850","Merton Junior School","Local authority maintained schools","Primary","Does not apply","27","Basingstoke and Deane","Good"
116002,"850","Heatherside Infant School","Local authority maintained schools","Primary","Does not apply","5","Hart","Outstanding"
116003,"850","Fleet Infant School","Local authority maintained schools","Primary","Does not apply","1.5","Hart","Outstanding"
116004,"850","Merton Infant School","Local authority maintained schools","Primary","Does not apply","23","Basingstoke and Deane","Good"
116005,"850","Castle Hill Primary School","Local authority maintained schools","Primary","Does not apply","10.4","Basingstoke and Deane","Good"
116006,"850","Bishop's Waltham Junior School","Local authority maintained schools","Primary","Does not apply","10.4","Winchester","Good"
116007,"850","Hiltingbury Junior School","Local authority maintained schools","Primary","Does not apply","2.3","Eastleigh","Outstanding"
116009,"850","Crofton Hammond Infant School","Local authority maintained schools","Primary","Does not apply","3.3","Fareham","Outstanding"
116010,"850","Heatherside Junior School","Local authority maintained schools","Primary","Does not apply","2.7","Hart","Outstanding"
116012,"850","Sarisbury Infant School","Local authority maintained schools","Primary","Does not apply","7.4","Fareham","Outstanding"
116013,"850","Bishopswood Junior School","Local authority maintained schools","Primary","Does not apply","12.3","Basingstoke and Deane","Good"
116014,"850","Knight's Enham Junior School","Local authority maintained schools","Primary","Does not apply","33.3","Test Valley","Good"
116015,"850","Manor Field Junior School","Local authority maintained schools","Primary","Does not apply","29.2","Basingstoke and Deane","Good"
116016,"850","Kempshott Junior School","Local authority maintained schools","Primary","Does not apply","8","Basingstoke and Deane","Good"
116019,"850","Ranvilles Junior School","Local authority maintained schools","Primary","Does not apply","5.9","Fareham","Good"
116020,"850","Tweseldown Infant School","Local authority maintained schools","Primary","Does not apply","10.1","Hart","Outstanding"
116021,"850","Liss Infant School","Local authority maintained schools","Primary","Does not apply","10.1","East Hampshire","Requires improvement"
116022,"850","Purbrook Junior School","Local authority maintained schools","Primary","Does not apply","12.6","Havant","Good"
116023,"850","Marnel Community Infant School","Local authority maintained schools","Primary","Does not apply","24.6","Basingstoke and Deane","Outstanding"
116024,"850","Foxhills Infant School","Local authority maintained schools","Primary","Does not apply","9","New Forest","Good"
116025,"850","The Butts Primary School","Local authority maintained schools","Primary","Does not apply","8.6","East Hampshire","Good"
116026,"850","Knights Enham Nursery and Infant School","Local authority maintained schools","Primary","Does not apply","35.6","Test Valley","Good"
116027,"850","Bursledon Junior School(CA)","Local authority maintained schools","Primary","Does not apply","23.2","Eastleigh","Good"
116028,"850","Ranvilles Infant School","Local authority maintained schools","Primary","Does not apply","4.4","Fareham","Outstanding"
116030,"850","Northern Infant School","Local authority maintained schools","Primary","Does not apply","8.5","Fareham","Good"
116031,"850","Poulner Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","8.5","New Forest","Good"
116033,"850","Park Gate Primary School","Local authority maintained schools","Primary","Does not apply","9.7","Fareham","Good"
116034,"850","South Wonston Primary School","Local authority maintained schools","Primary","Does not apply","7.4","Winchester","Good"
116035,"850","Bishopswood Infant School","Local authority maintained schools","Primary","Does not apply","7.3","Basingstoke and Deane","Good"
116036,"850","Kempshott Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Basingstoke and Deane","Outstanding"
116037,"850","Wootey Junior School","Local authority maintained schools","Primary","Does not apply","22.1","East Hampshire","Good"
116038,"850","Roman Way Primary School","Local authority maintained schools","Primary","Does not apply","25.4","Test Valley","Good"
116039,"850","Old Basing Infant School","Local authority maintained schools","Primary","Does not apply","4.3","Basingstoke and Deane","Outstanding"
116040,"850","Rucstall Primary School","Local authority maintained schools","Primary","Does not apply","16.2","Basingstoke and Deane","Good"
116041,"850","Castle Hill Infant School","Local authority maintained schools","Primary","Does not apply","9.9","Basingstoke and Deane","Outstanding"
116042,"850","Scantabout Primary School","Local authority maintained schools","Primary","Does not apply","5.5","Eastleigh","Good"
116043,"850","Denmead Junior School","Local authority maintained schools","Primary","Does not apply","8.2","Winchester","Good"
116044,"850","Tavistock Infant School","Local authority maintained schools","Primary","Does not apply","5.7","Hart","Good"
116045,"850","Hook Junior School","Local authority maintained schools","Primary","Does not apply","7.8","Hart","Outstanding"
116046,"850","Olivers Battery Primary School","Local authority maintained schools","Primary","Does not apply","15.4","Winchester","Good"
116047,"850","Oakley Infant School","Local authority maintained schools","Primary","Does not apply","6.4","Basingstoke and Deane","Outstanding"
116048,"850","Cupernham Infant School","Local authority maintained schools","Primary","Does not apply","9.3","Test Valley","Good"
116049,"850","Calmore Infant School","Local authority maintained schools","Primary","Does not apply","14.6","New Forest","Good"
116051,"850","Lymington Junior School","Local authority maintained schools","Primary","Does not apply","7.5","New Forest","Good"
116052,"850","Mengham Junior School","Local authority maintained schools","Primary","Does not apply","21","Havant","Good"
116053,"850","Bidbury Junior School","Local authority maintained schools","Primary","Does not apply","21.1","Havant","Good"
116054,"850","Velmead Junior School","Local authority maintained schools","Primary","Does not apply","3.3","Hart","Good"
116055,"850","Manor Field Infant School","Local authority maintained schools","Primary","Does not apply","32.3","Basingstoke and Deane","Good"
116056,"850","Liphook Infant School","Local authority maintained schools","Primary","Does not apply","9.2","East Hampshire","Good"
116057,"850","Chalk Ridge Primary School","Local authority maintained schools","Primary","Does not apply","13.7","Basingstoke and Deane","Good"
116058,"850","Crofton Hammond Junior School","Local authority maintained schools","Primary","Does not apply","5.3","Fareham","Outstanding"
116059,"850","Potley Hill Primary School","Local authority maintained schools","Primary","Does not apply","6.9","Hart","Good"
116060,"850","Kings Copse Primary School","Local authority maintained schools","Primary","Does not apply","7.1","Eastleigh","Good"
116061,"850","Netley Abbey Junior School","Local authority maintained schools","Primary","Does not apply","16.5","Eastleigh","Good"
116063,"850","Balksbury Infant School","Local authority maintained schools","Primary","Does not apply","10.1","Test Valley","Outstanding"
116065,"850","Petersgate Infant School","Local authority maintained schools","Primary","Does not apply","12.1","East Hampshire","Good"
116067,"850","Springwood Junior School","Local authority maintained schools","Primary","Does not apply","18.7","Havant","Good"
116068,"850","Fordingbridge Junior School","Local authority maintained schools","Primary","Does not apply","9.8","New Forest","Good"
116069,"850","Fordingbridge Infant School","Local authority maintained schools","Primary","Does not apply","8.9","New Forest","Good"
116070,"850","Netley Abbey Infant School","Local authority maintained schools","Primary","Does not apply","9.1","Eastleigh","Good"
116071,"850","Greenfields Junior School","Local authority maintained schools","Primary","Does not apply","14.5","Hart","Good"
116072,"850","Shakespeare Junior School","Local authority maintained schools","Primary","Does not apply","14.6","Eastleigh","Good"
116073,"850","Marchwood Junior School","Local authority maintained schools","Primary","Does not apply","8.3","New Forest","Outstanding"
116074,"850","Colden Common Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Winchester","Good"
116075,"850","Mayhill Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Hart","Good"
116076,"850","Woolton Hill Junior School","Local authority maintained schools","Primary","Does not apply","16.3","Basingstoke and Deane","Good"
116078,"850","Norwood Primary School","Local authority maintained schools","Primary","Does not apply","15.5","Eastleigh","Good"
116079,"850","Red Barn Community Primary School","Local authority maintained schools","Primary","Does not apply","7.9","Fareham","Outstanding"
116080,"850","Newlands Primary School","Local authority maintained schools","Primary","Does not apply","4.7","Hart","Good"
116082,"850","Four Lanes Infant School","Local authority maintained schools","Primary","Does not apply","8.8","Basingstoke and Deane","Outstanding"
116083,"850","Castle Primary School","Local authority maintained schools","Primary","Does not apply","12.7","Fareham","Good"
116084,"850","Bidbury Infant School","Local authority maintained schools","Primary","Does not apply","17.6","Havant","Outstanding"
116137,"850","Hatch Warren Infant School","Local authority maintained schools","Primary","Does not apply","15.8","Basingstoke and Deane","Good"
116140,"850","Cove Junior School","Local authority maintained schools","Primary","Does not apply","11.3","Rushmoor","Good"
116141,"850","Cove Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116142,"850","Tower Hill Primary School","Local authority maintained schools","Primary","Does not apply","23","Rushmoor","Outstanding"
116143,"850","Marlborough Infant School","Local authority maintained schools","Primary","Does not apply","3","Rushmoor","Good"
116144,"850","South Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","5.9","Rushmoor","Outstanding"
116145,"850","North Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","1.8","Rushmoor","Outstanding"
116146,"850","Manor Junior School","Local authority maintained schools","Primary","Does not apply","20.9","Rushmoor","Good"
116147,"850","Grange Community Junior School","Local authority maintained schools","Primary","Does not apply","28.8","Rushmoor","Outstanding"
116149,"850","Talavera Junior School","Local authority maintained schools","Primary","Does not apply","9.6","Rushmoor","Outstanding"
116150,"850","Manor Infant School","Local authority maintained schools","Primary","Does not apply","20.1","Rushmoor","Outstanding"
116151,"850","Talavera Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Rushmoor","Good"
116154,"850","Parsonage Farm Nursery and Infant School","Local authority maintained schools","Primary","Does not apply","6.4","Rushmoor","Outstanding"
116155,"850","South Farnborough Junior School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116157,"850","Guillemont Junior School","Local authority maintained schools","Primary","Does not apply","12.1","Rushmoor","Good"
116158,"850","Pinewood Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Rushmoor","Good"
116162,"850","Elson Junior School","Local authority maintained schools","Primary","Does not apply","13.5","Gosport","Requires improvement"
116163,"850","Elson Infant School","Local authority maintained schools","Primary","Does not apply","11.6","Gosport","Good"
116164,"850","Lee-on-the-Solent Junior School","Local authority maintained schools","Primary","Does not apply","11.4","Gosport","Requires improvement"
116165,"850","Haselworth Primary School","Local authority maintained schools","Primary","Does not apply","35.3","Gosport","Good"
116166,"850","Woodcot Primary School","Local authority maintained schools","Primary","Does not apply","16.5","Gosport","Good"
116168,"850","Rowner Infant School","Local authority maintained schools","Primary","Does not apply","26.8","Gosport","Good"
116169,"850","Alverstoke Community Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Gosport","Outstanding"
116170,"850","Grange Junior School","Local authority maintained schools","Primary","Does not apply","24.8","Gosport","Good"
116171,"850","Grange Infant School","Local authority maintained schools","Primary","Does not apply","22.5","Gosport","Good"
116172,"850","Alver Valley Junior School","Local authority maintained schools","Primary","Does not apply","27","Gosport","Good"
116173,"850","Peel Common Infant School and Nursery Unit","Local authority maintained schools","Primary","Does not apply","8.7","Gosport","Good"
116174,"850","Alver Valley Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","31.7","Gosport","Good"
116175,"850","Peel Common Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Gosport","Good"
116176,"850","Gomer Infant School","Local authority maintained schools","Primary","Does not apply","8.3","Gosport","Outstanding"
116177,"850","Brockhurst Primary School","Local authority maintained schools","Primary","Does not apply","25.4","Gosport","Good"
116180,"850","Lee-On-the-Solent Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","9","Gosport","Good"
116224,"850","Orchard Lea Infant School","Local authority maintained schools","Primary","Does not apply","12.4","Fareham","Good"
116225,"850","Orchard Lea Junior School","Local authority maintained schools","Primary","Does not apply","15.7","Fareham","Good"
116228,"850","Hook Infant School","Local authority maintained schools","Primary","Does not apply","6.5","Hart","Outstanding"
116230,"850","King's Furlong Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","15.5","Basingstoke and Deane","Requires improvement"
116231,"850","Kings Furlong Junior School","Local authority maintained schools","Primary","Does not apply","23.1","Basingstoke and Deane","Good"
116232,"850","Fairfields Primary School","Local authority maintained schools","Primary","Does not apply","13.3","Basingstoke and Deane","Good"
116233,"850","Park Primary School","Local authority maintained schools","Primary","Does not apply","23.4","Rushmoor","Good"
116234,"850","Alderwood School","Local authority maintained schools","All-through","Does not apply","17","Rushmoor","Good"
116237,"850","Park View Primary School","Local authority maintained schools","Primary","Does not apply","30.7","Basingstoke and Deane","Good"
116241,"850","Harestock Primary School","Local authority maintained schools","Primary","Does not apply","12.5","Winchester","Good"
116242,"850","Weeke Primary School","Local authority maintained schools","Primary","Does not apply","9.1","Winchester","Good"
116243,"850","Hazel Wood Infant School","Local authority maintained schools","Primary","Does not apply","13.6","New Forest","Outstanding"
116244,"850","Hart Plain Junior School","Local authority maintained schools","Primary","Does not apply","36","Havant","Good"
116246,"850","Southwood Infant School","Local authority maintained schools","Primary","Does not apply","1.5","Rushmoor","Good"
116247,"850","Four Lanes Community Junior School","Local authority maintained schools","Primary","Does not apply","4","Basingstoke and Deane","Good"
