"URN","LA (code)","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
125149,"936","St Mary's CofE Voluntary Controlled Infant School","Local authority maintained schools","Primary","Church of England","9","Guildford","Outstanding"
125150,"936","St Mary's CofE Controlled Primary School, Byfleet","Local authority maintained schools","Primary","Church of England","8.9","Woking","Good"
125151,"936","Powell Corderoy Primary School","Local authority maintained schools","Primary","None","8.6","Mole Valley","Good"
125153,"936","Bisley CofE Primary School","Local authority maintained schools","Primary","Church of England","9.1","Surrey Heath","Good"
125156,"936","Walsh CofE Junior School","Local authority maintained schools","Primary","Church of England","17.7","Guildford","Requires improvement"
125157,"936","St Martin's CofE Aided Infant School, Epsom","Local authority maintained schools","Primary","Church of England","3.8","Epsom and Ewell","Outstanding"
125159,"936","Witley CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","8.5","Waverley","Good"
125160,"936","Merrow CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","10.5","Guildford","Outstanding"
125163,"936","St James CofE Primary School","Local authority maintained schools","Primary","Church of England","9.8","Elmbridge","Good"
125164,"936","St John's CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.5","Tandridge","Good"
125165,"936","St Peter and St Paul CofE Infant School","Local authority maintained schools","Primary","Church of England","9.2","Tandridge","Outstanding"
125167,"936","Chilworth CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","12.2","Guildford","Outstanding"
125168,"936","St Lawrence CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","14.8","Surrey Heath","Good"
125170,"936","St Michael's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Mole Valley","Good"
125171,"936","St Paul's CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","7.1","Mole Valley","Outstanding"
125173,"936","St Jude's Church of England Junior School","Local authority maintained schools","Primary","Church of England","17.7","Runnymede","Good"
125174,"936","Thorpe CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","15.2","Runnymede","Good"
125175,"936","Christ Church CofE Aided Infant School, Virginia Water","Local authority maintained schools","Primary","Church of England","17","Runnymede","Good"
125176,"936","St James CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.3","Waverley","Good"
125178,"936","St Matthew's CofE Aided Infant School, Cobham","Local authority maintained schools","Primary","Church of England","4.8","Elmbridge","Outstanding"
125179,"936","St Lawrence CofE Aided Junior School, East Molesey","Local authority maintained schools","Primary","Church of England","3.8","Elmbridge","Good"
125180,"936","Long Ditton St Mary's CofE (Aided) Junior School","Local authority maintained schools","Primary","Church of England","8","Elmbridge","Good"
125181,"936","Ewhurst CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Outstanding"
125182,"936","St Peter's CofE Primary School","Local authority maintained schools","Primary","Church of England","7.6","Waverley","Good"
125183,"936","St Mary's CofE Aided Infant School, Frensham","Local authority maintained schools","Primary","Church of England","0","Waverley","Good"
125184,"936","St John's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4","Waverley","Outstanding"
125186,"936","Busbridge CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Good"
125189,"936","St Nicolas CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4.5","Guildford","Good"
125190,"936","St Giles' CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","9.2","Mole Valley","Outstanding"
125191,"936","Limpsfield CofE Infant School","Local authority maintained schools","Primary","Church of England","5.6","Tandridge","Outstanding"
125192,"936","Newdigate CofE Endowed Aided Infant School","Local authority maintained schools","Primary","Church of England","12.5","Mole Valley","Good"
125193,"936","Nutfield Church CofE Primary School","Local authority maintained schools","Primary","Church of England","6.8","Tandridge","Good"
125194,"936","St Mary's CofE Primary School","Local authority maintained schools","Primary","Church of England","8.6","Tandridge","Outstanding"
125195,"936","Puttenham CofE Infant School","Local authority maintained schools","Primary","Church of England","1.8","Guildford","Outstanding"
125196,"936","Reigate Parish Church Primary  School","Local authority maintained schools","Primary","Church of England","1.7","Reigate and Banstead","Outstanding"
125197,"936","St Peter's CofE Infant School","Local authority maintained schools","Primary","Church of England","1.2","Tandridge","Outstanding"
125198,"936","All Saints CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","0","Waverley","Outstanding"
125199,"936","Clandon CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","31.5","Guildford","Requires improvement"
125200,"936","The Chandler CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","11","Waverley","Good"
125201,"936","Horsell CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.9","Woking","Good"
125202,"936","Wonersh and Shamley Green CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","5.5","Waverley","Good"
125203,"936","St Francis Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","8.8","Tandridge","Good"
125204,"936","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","10.1","Mole Valley","Good"
125205,"936","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.9","Epsom and Ewell","Outstanding"
125209,"936","St Cuthbert's Catholic Primary School, Englefield Green","Local authority maintained schools","Primary","Roman Catholic","4.3","Runnymede","Outstanding"
125211,"936","St Peter's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.3","Mole Valley","Outstanding"
125212,"936","St Paul's Catholic Primary School, Thames Ditton","Local authority maintained schools","Primary","Roman Catholic","4.7","Elmbridge","Good"
125214,"936","St Ignatius Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6.3","Spelthorne","Good"
125215,"936","Our Lady of the Rosary RC Primary School","Local authority maintained schools","Primary","Roman Catholic","2.9","Spelthorne","Good"
125218,"936","Send CofE Primary School","Local authority maintained schools","Primary","Church of England","5.2","Guildford","Good"
125219,"936","St Anne's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.7","Reigate and Banstead","Good"
125220,"936","St Clement's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","4.7","Epsom and Ewell","Good"
125228,"936","Ashford CofE Primary School","Local authority maintained schools","Primary","Church of England","11.7","Spelthorne","Requires improvement"
125229,"936","Laleham CofE VA Primary School","Local authority maintained schools","Primary","Church of England","4.3","Spelthorne","Good"
125230,"936","St Nicholas CofE Primary School","Local authority maintained schools","Primary","Church of England","9.3","Spelthorne","Good"
125231,"936","Littleton CofE Infant School","Local authority maintained schools","Primary","Church of England","8.3","Spelthorne","Good"
125233,"936","St Michael Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6","Spelthorne","Outstanding"
125234,"936","St Joseph's Catholic Primary School, Redhill","Local authority maintained schools","Primary","Roman Catholic","7.6","Reigate and Banstead","Good"
125238,"936","St Dunstan's Catholic Primary School, Woking","Local authority maintained schools","Primary","Roman Catholic","2.7","Woking","Outstanding"
125241,"936","Scott Broadwood CofE Infant School","Local authority maintained schools","Primary","Church of England","13.7","Mole Valley","Good"
125242,"936","St Bartholomew's CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","7","Waverley","Good"
125243,"936","Bramley CofE Aided Infant School and Nursery","Local authority maintained schools","Primary","Church of England","2.5","Waverley","Outstanding"
125245,"936","Grayswood Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","6","Waverley","Good"
125246,"936","Shere CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","7.9","Guildford","Good"
125279,"936","Royal Alexandra and Albert School","Local authority maintained schools","All-through","None","4.8","Reigate and Banstead","Good"
125284,"936","Hawkedale Primary School","Local authority maintained schools","Primary","None","8.4","Spelthorne","Good"
125288,"936","Holy Trinity, Guildford, CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","2.6","Guildford","Good"
125289,"936","Yattendon School","Local authority maintained schools","Primary","None","11.3","Reigate and Banstead","Good"
125292,"936","Burstow Primary School","Local authority maintained schools","Primary","None","15","Tandridge","Good"
125293,"936","Park Mead Primary","Local authority maintained schools","Primary","None","10.6","Waverley","Good"
125296,"936","Tadworth Primary School","Local authority maintained schools","Primary","None","2.1","Reigate and Banstead","Good"
125298,"936","Wallace Fields Junior School","Local authority maintained schools","Primary","Does not apply","4.8","Epsom and Ewell","Outstanding"
125299,"936","Burpham Foundation Primary School","Local authority maintained schools","Primary","None","5.1","Guildford","Outstanding"
129650,"850","Wellstead Primary School","Local authority maintained schools","Primary","Does not apply","13.5","Eastleigh","Good"
130325,"850","Mill Hill Primary School","Local authority maintained schools","Primary","Does not apply","30.4","Havant","Good"
130397,"936","The Dawnay School","Local authority maintained schools","Primary","Does not apply","13.4","Mole Valley","Requires improvement"
131072,"936","Riverview CofE Primary and Nursery School VA","Local authority maintained schools","Primary","Church of England","31.7","Epsom and Ewell","Requires improvement"
131112,"936","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","5.3","Guildford","Good"
131116,"850","Holbrook Primary School","Local authority maintained schools","Primary","Does not apply","34.7","Gosport","Good"
131117,"850","Bedenham Primary School","Local authority maintained schools","Primary","Does not apply","19.4","Gosport","Good"
131125,"936","Cranmere Primary School","Local authority maintained schools","Primary","Does not apply","12.2","Elmbridge","Good"
131420,"850","Whiteley Primary School","Local authority maintained schools","Primary","Does not apply","4.3","Fareham","Outstanding"
131450,"850","St Mark's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.8","Basingstoke and Deane","Good"
131516,"850","Burnham Copse Primary School","Local authority maintained schools","Primary","Does not apply","10.6","Basingstoke and Deane","Good"
131717,"850","Knightwood Primary School","Local authority maintained schools","Primary","Does not apply","2.7","Test Valley","Outstanding"
132212,"850","Great Binfields Primary School","Local authority maintained schools","Primary","Does not apply","10.3","Basingstoke and Deane","Good"
132801,"850","Elvetham Heath Primary School","Local authority maintained schools","Primary","Does not apply","4.8","Hart","Outstanding"
132802,"850","Cherrywood Community Primary School","Local authority maintained schools","Primary","Does not apply","33.7","Rushmoor","Good"
133292,"850","Micheldever CofE Primary School","Local authority maintained schools","Primary","Church of England","6.3","Winchester","Good"
133303,"850","Sharps Copse Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","48.1","Havant","Good"
133721,"936","Southfield Park Primary School","Local authority maintained schools","Primary","Does not apply","9.5","Epsom and Ewell","Outstanding"
134652,"850","Chiltern Primary School","Local authority maintained schools","Primary","Does not apply","26.8","Basingstoke and Deane","Good"
134732,"936","Manorfield Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","28.7","Reigate and Banstead","Good"
134734,"850","Cadland Primary School","Local authority maintained schools","Primary","Does not apply","33.2","New Forest","Good"
134945,"850","Romsey Primary School","Local authority maintained schools","Primary","Does not apply","13.5","Test Valley","Good"
135009,"936","Leatherhead Trinity School and Nursery","Local authority maintained schools","Primary","Church of England/Methodist","31.4","Mole Valley","Good"
135237,"936","Buckland Primary School","Local authority maintained schools","Primary","Does not apply","22.6","Spelthorne","Good"
135529,"850","Woodcroft Primary","Local authority maintained schools","Primary","Does not apply","47.3","Havant","Good"
135566,"936","Cranleigh Church of England Primary School","Local authority maintained schools","Primary","Church of England","15","Waverley","Good"
135885,"850","Cranford Park Primary","Local authority maintained schools","Primary","Church of England","12.8","Hart","Good"
135887,"850","Endeavour Primary School","Local authority maintained schools","Primary","Does not apply","20.9","Test Valley","Good"
136078,"850","Barncroft Primary School","Local authority maintained schools","Primary","Does not apply","29.1","Havant","Good"
136338,"936","Cleves School","Academies","Primary","None","4.2","Elmbridge",""
136407,"850","Pilgrims' Cross CofE Aided Primary School","Local authority maintained schools","Primary","None","13.1","Test Valley","Requires improvement"
136447,"850","The Priory Primary School","Academies","Primary","None","1.1","Basingstoke and Deane","Good"
136755,"936","Pewley Down Infant School","Local authority maintained schools","Primary","Church of England","5.6","Guildford","Outstanding"
136888,"936","South Farnham School","Academies","Primary","Does not apply","2.6","Waverley","Outstanding"
137014,"936","The Raleigh School","Academies","Primary","Does not apply","2.8","Guildford","Outstanding"
137403,"850","St Anthony's Catholic Primary School","Academies","Primary","Roman Catholic","2.8","Fareham","Good"
137422,"850","St Joseph's Catholic Primary School","Academies","Primary","Roman Catholic","4.7","Rushmoor","Outstanding"
137693,"850","Bransgore Church of England Primary School","Academies","Primary","Church of England","7.9","New Forest",""
137850,"936","Goldsworth Primary School","Academies","Primary","Does not apply","6.2","Woking",""
138139,"850","Wellington Community Primary School","Local authority maintained schools","Primary","Does not apply","17.6","Rushmoor","Outstanding"
138226,"936","Cobham Free School","Free Schools","All-through","Does not apply","8.3","Elmbridge","Good"
138242,"850","Manor Church of England Infant School","Local authority maintained schools","Primary","Church of England","17.3","New Forest","Good"
138719,"850","Hook-With-Warsash Church of England Academy","Academies","Primary","Church of England","4.1","Fareham","Good"
138764,"936","Danetree Primary School","Academies","Primary","Does not apply","11.7","Epsom and Ewell","Outstanding"
139070,"936","Weyfield Academy","Academies","Primary","Does not apply","41","Guildford","Requires improvement"
139273,"850","Front Lawn Primary Academy","Academies","Primary","None","38.2","Havant","Good"
139479,"936","Broadmere Primary Academy","Academies","Primary","Does not apply","32.3","Woking","Good"
139548,"850","Cornerstone CofE (VA) Primary School","Local authority maintained schools","Primary","Church of England","5.9","Winchester","Good"
139557,"936","Lime Tree Primary School","Academies","Primary","Does not apply","10.5","Reigate and Banstead","Good"
139721,"936","St John's Church of England Primary School","Academies","Primary","Church of England","27.3","Mole Valley","Good"
139890,"936","New Monument Primary Academy","Academies","Primary","Does not apply","14.5","Woking","Good"
139915,"936","Marden Lodge Primary School and Nursery","Academies","Primary","Does not apply","16.2","Tandridge","Good"
139916,"936","Warlingham Village Primary School","Academies","Primary","Does not apply","15.8","Tandridge","Outstanding"
139920,"850","The Holme Church of England Primary School","Academies","Primary","Church of England","16.8","East Hampshire","Good"
139944,"850","Frogmore Junior School","Academies","Primary","Does not apply","14.2","Hart","Good"
139951,"936","Pyrcroft Grange Primary School","Academies","Primary","Does not apply","21.7","Runnymede","Outstanding"
140026,"936","St Mary's Church of England Primary School","Academies","Primary","Church of England","4.2","Waverley","Good"
140028,"936","St Paul's CofE Primary School","Academies","Primary","Church of England","22.1","Runnymede","Good"
140034,"936","The Echelford Primary School","Academies","Primary","Does not apply","11.6","Spelthorne","Good"
140057,"936","Boxgrove Primary School","Academies","Primary","Does not apply","3.6","Guildford","Good"
140084,"936","The Horsell Village School","Academies","Primary","Does not apply","4.9","Woking",""
140090,"936","The Oaktree School","Academies","Primary","Does not apply","9.8","Woking",""
140098,"850","Milford-on-Sea Church of England Primary School","Academies","Primary","Church of England","5.1","New Forest",""
140203,"936","Peaslake Free School","Free Schools","Primary","None","3.2","Guildford","Good"
140211,"850","Berewood Primary School","Academies","Primary","None","21.9","Winchester","Good"
140250,"936","Saxon Primary School","Academies","Primary","Does not apply","10.9","Spelthorne","Good"
140256,"936","Connaught Junior School","Academies","Primary","Does not apply","4.7","Surrey Heath","Good"
140339,"936","St John's Primary School","Academies","Primary","Does not apply","21.8","Woking","Good"
140348,"936","Kenyngton Manor Primary School","Academies","Primary","Does not apply","30.9","Spelthorne","Good"
140349,"936","Cordwalles Junior School","Academies","Primary","Does not apply","25.6","Surrey Heath","Good"
140350,"936","Springfield Primary School","Academies","Primary","Does not apply","20.5","Spelthorne","Good"
140508,"936","Beaufort Primary School","Academies","Primary","Does not apply","10.6","Woking","Good"
140509,"936","Sythwood Primary School","Academies","Primary","Does not apply","21.1","Woking","Good"
140540,"936","Barnsbury Primary School and Nursery","Academies","Primary","Does not apply","9.7","Woking","Good"
140594,"936","The Hermitage School","Academies","Primary","Does not apply","11.3","Woking","Good"
140690,"850","The Cambridge Primary School","Academies","Primary","None","13.3","Rushmoor",""
140808,"936","Banstead Infant School","Academies","Primary","Does not apply","10.1","Reigate and Banstead","Good"
140810,"936","Warren Mead Junior School","Academies","Primary","Does not apply","3.7","Reigate and Banstead","Good"
140860,"936","Sayes Court School","Academies","Primary","None","19.8","Runnymede","Good"
140876,"936","New Haw Community Junior School","Academies","Primary","Does not apply","6.8","Runnymede",""
140880,"936","Hillcroft Primary School","Academies","Primary","Does not apply","13.9","Tandridge","Good"
140929,"936","Pyrford Church of England Primary School","Academies","Primary","Church of England","4.3","Woking",""
141036,"936","Trinity Oaks Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","Reigate and Banstead","Good"
141197,"936","Sandfield Primary School","Academies","Primary","Does not apply","7.1","Guildford","Good"
141294,"936","Ashley Church of England Primary School","Academies","Primary","Church of England","2.5","Elmbridge",""
141347,"936","St Lawrence Primary School","Academies","Primary","Does not apply","14","Guildford","Good"
141446,"936","Queen Eleanor's Church of England School","Academies","Primary","Church of England","9.1","Guildford","Good"
141447,"936","Cuddington Croft Primary School","Academies","Primary","Does not apply","1.8","Sutton","Good"
141473,"850","Fawley Infant School","Academies","Primary","Does not apply","32","New Forest","Good"
141474,"850","Blackfield Primary School","Academies","Primary","None","27.3","New Forest","Good"
141592,"936","Ravenscote Junior School","Academies","Primary","Does not apply","5.6","Surrey Heath",""
141593,"936","Whyteleafe Primary School","Academies","Primary","None","9.1","Tandridge","Good"
141667,"936","Highfield South Farnham School","Academies","Primary","Does not apply","13.3","Waverley","Outstanding"
141733,"936","Esher Church School","Academies","Primary","Church of England","1.3","Elmbridge","Good"
142019,"936","Salfords Primary School","Academies","Primary","Does not apply","21.1","Reigate and Banstead","Requires improvement"
142083,"936","The Weald CofE Primary School","Academies","Primary","Church of England","11.2","Mole Valley","Serious Weaknesses"
142084,"936","Brookwood Primary School","Academies","Primary","Does not apply","8.9","Woking","Good"
142345,"936","Cross Farm Infant Academy","Academies","Primary","Does not apply","11.7","Surrey Heath",""
142356,"936","Mytchett Primary & Nursery Academy","Academies","Primary","Does not apply","7.9","Surrey Heath","Good"
142366,"936","Sandringham Infant & Nursery Academy","Academies","Primary","Does not apply","6.1","Surrey Heath","Good"
142380,"936","The Grove Primary Academy","Academies","Primary","Does not apply","9","Surrey Heath","Good"
142415,"936","Lakeside Nursery & Primary Academy","Academies","Primary","Does not apply","12.3","Surrey Heath","Good"
142426,"936","Hammond School","Academies","Primary","Does not apply","1.2","Surrey Heath","Good"
142433,"936","Lightwater Village School","Academies","Primary","Does not apply","4.1","Surrey Heath",""
142998,"936","Eastwick Infant School","Academies","Primary","Does not apply","6.3","Mole Valley","Good"
142999,"936","Eastwick Junior School","Academies","Primary","Does not apply","3.1","Mole Valley","Good"
143000,"936","Cuddington Community Primary School","Academies","Primary","Does not apply","10.1","Epsom and Ewell","Good"
143001,"936","Wallace Fields Infant School and Nursery","Academies","Primary","Does not apply","2.8","Epsom and Ewell",""
143364,"936","Cardinal Newman Catholic Primary School","Academies","Primary","Roman Catholic","3.2","Elmbridge","Good"
143365,"936","St Anne's Catholic Primary School","Academies","Primary","Roman Catholic","8.5","Runnymede","Good"
143366,"936","St Alban's Catholic Primary School","Academies","Primary","Roman Catholic","2.2","Elmbridge","Good"
143368,"936","Holy Family Catholic Primary School","Academies","Primary","Roman Catholic","5.5","Runnymede","Good"
143370,"936","St Hugh of Lincoln Catholic Primary School","Academies","Primary","Roman Catholic","1.4","Woking","Good"
143371,"936","Riverbridge Primary School","Academies","Primary","Does not apply","16.6","Spelthorne","Good"
143372,"936","St Charles Borromeo Catholic Primary School, Weybridge","Academies","Primary","Roman Catholic","2.4","Elmbridge",""
143373,"936","Guildford Grove Primary School","Academies","Primary","Does not apply","31.3","Guildford","Good"
143374,"936","St Augustine's Catholic Primary School","Academies","Primary","Roman Catholic","3.5","Surrey Heath",""
143625,"936","Loseley Fields Primary School","Academies","Primary","None","17.1","Waverley","Requires improvement"
143626,"936","St Andrew's CofE Primary School","Academies","Primary","Church of England","18.2","Elmbridge","Good"
143627,"936","Waverley Abbey CofE Junior School","Academies","Primary","Church of England","3.2","Waverley","Good"
143809,"936","Holly Lodge Primary Academy","Academies","Primary","Does not apply","7.7","Guildford","Good"
143989,"936","Lorraine Infant School","Academies","Primary","Does not apply","15.7","Surrey Heath","Good"
143995,"936","Pine Ridge Infant School","Academies","Primary","Does not apply","11.5","Surrey Heath","Good"
144001,"936","Stanwell Fields CofE Primary School","Academies","Primary","Church of England","18.9","Spelthorne","Good"
144093,"850","Gomer Junior School","Academies","Primary","Does not apply","7.4","Gosport","Good"
144229,"936","Bletchingley Village Primary School","Academies","Primary","Does not apply","19.8","Tandridge","Good"
144230,"936","Hamsey Green Primary","Academies","Primary","Does not apply","15.4","Tandridge","Good"
144231,"936","Tatsfield Primary School","Academies","Primary","Does not apply","7","Tandridge",""
144232,"936","Woodlea Primary School","Academies","Primary","None","4.4","Tandridge","Good"
144330,"936","St Andrew's Church of England Infant School","Academies","Primary","Church of England","9.1","Waverley","Good"
144387,"936","Auriol Junior School","Academies","Primary","Does not apply","5","Epsom and Ewell","Good"
144697,"936","Merstham Primary School","Academies","Primary","Does not apply","9.5","Reigate and Banstead",""
144882,"850","Sun Hill Junior School","Academies","Primary","Does not apply","7.7","Winchester",""
144899,"850","Farnborough Grange Nursery & Infant Community School","Academies","Primary","Does not apply","20.2","Rushmoor",""
144938,"936","Sandcross Primary School","Academies","Primary","Does not apply","15.5","Reigate and Banstead",""
144939,"936","St Stephen's CofE Primary School","Academies","Primary","Church of England","14.5","Tandridge",""
144994,"936","St Matthew's CofE Primary School","Academies","Primary","Church of England","22","Reigate and Banstead",""
145102,"936","The Marist Catholic Primary School","Academies","Primary","Roman Catholic","2.2","Woking",""
145205,"936","Dovers Green School","Academies","Primary","Does not apply","14.5","Reigate and Banstead",""
145213,"936","Holmesdale Community Infant School","Academies","Primary","Does not apply","1.1","Reigate and Banstead",""
145226,"936","Wray Common Primary School","Academies","Primary","Does not apply","10.9","Reigate and Banstead",""
145278,"936","Potters Gate CofE Primary School","Academies","Primary","Church of England","8.2","Waverley",""
145279,"936","South Camberley Primary and Nursery School","Academies","Primary","Does not apply","13.9","Surrey Heath",""
145542,"936","Westfield Primary School","Academies","Primary","Does not apply","24","Woking",""
145543,"936","Wyke Primary Academy","Academies","Primary","Does not apply","8.3","Guildford",""
145700,"936","Holy Trinity CofE Primary School","Academies","Primary","Church of England","2.6","Surrey Heath",""
145701,"936","Windlesham Village Infant School","Academies","Primary","Does not apply","4.2","Surrey Heath",""
145702,"936","Crawley Ridge Infant School","Academies","Primary","Does not apply","6.9","Surrey Heath",""
145703,"936","Crawley Ridge Junior School","Academies","Primary","Does not apply","5.3","Surrey Heath",""
145796,"936","Meadow Primary School","Academies","Primary","Does not apply","4.4","Epsom and Ewell",""
145797,"936","West Ewell Primary School and Nursery","Academies","Primary","Does not apply","12.4","Epsom and Ewell",""
145887,"936","Hatchlands Primary","Free Schools","Primary","None","8.9","Reigate and Banstead",""
146002,"850","Bordon Junior School","Academies","Primary","Does not apply","16.8","East Hampshire",""
146022,"936","Shalford Infant School","Academies","Primary","Does not apply","3.5","Guildford",""
146023,"936","Pirbright Village Primary School","Academies","Primary","Does not apply","6","Guildford",""
146024,"936","The Vale Primary School","Academies","Primary","Does not apply","15.6","Epsom and Ewell",""
146025,"936","Northmead Junior School","Academies","Primary","None","13.4","Guildford",""
146244,"850","Rowner Junior","Academies","Primary","Does not apply","29.8","Gosport",""
146259,"936","Stoughton Infant School","Academies","Primary","Does not apply","9.9","Guildford",""
146264,"936","Meadhurst Primary School","Academies","Primary","Does not apply","15.2","Spelthorne",""
146419,"936","Ottershaw Christchurch Church of England Junior School","Academies","Primary","Church of England","9.6","Runnymede",""
146420,"936","Ottershaw Christ Church Church of England Infant School","Academies","Primary","Church of England","10.6","Runnymede",""
146438,"936","Surrey Hills All Saints Primary School","Academies","Primary","Church of England","6.6","Mole Valley",""
146573,"936","St Cuthbert Mayne Catholic Primary School","Academies","Primary","Roman Catholic","4.2","Waverley",""
146661,"936","St John's Primary School","Academies","Primary","Does not apply","7.2","Reigate and Banstead",""
146682,"936","Walton Oak Primary School","Academies","Primary","Does not apply","24.3","Elmbridge",""
146781,"936","St Mark and All Saints Church of England Primary","Academies","Primary","Church of England","33.3","Waverley",""
146846,"936","Warren Mead Infant School","Academies","Primary","Does not apply","5.4","Reigate and Banstead",""
146917,"936","Maybury Primary School","Academies","Primary","Does not apply","16.1","Woking",""
146975,"936","Hale Nursery & Primary Academy","Academies","Primary","Does not apply","15.5","Waverley",""
147021,"850","Oakfield Primary School","Academies","Primary","Does not apply","23.4","New Forest",""
147066,"850","Boorley Park","Free Schools","Primary","Does not apply","6.7","Eastleigh",""
147128,"850","Fernhill Primary Academy","Academies","Primary","Does not apply","32.5","Rushmoor",""
147257,"936","Woodmansterne Primary School","Academies","Primary","Does not apply","9.7","Reigate and Banstead",""
147427,"936","Knaphill School","Academies","Primary","Does not apply","","Woking",""
147428,"936","The Knaphill Lower School","Academies","Primary","Does not apply","","Woking",""
147429,"936","St Polycarp's Catholic Primary School","Academies","Primary","Roman Catholic","1.7","Waverley",""
147431,"936","St Thomas of Canterbury Catholic Primary School","Academies","Primary","Roman Catholic","4.3","Guildford",""
147510,"936","Hinchley Wood Primary School","Academies","Primary","Does not apply","5.4","Elmbridge",""
147519,"850","St Anne's Catholic Primary School","Academies","Primary","Roman Catholic","8.8","Basingstoke and Deane",""
147671,"936","Byfleet Primary School","Academies","Primary","Does not apply","","Woking",""
147678,"936","Darley Dene Primary School","Academies","Primary","Does not apply","","Runnymede",""
147701,"850","St Columba CE Primary School","Academies","Primary","Church of England","21.8","Fareham",""
147836,"850","Barton Farm Primary Academy","Free Schools","Primary","None","","Winchester",""
147852,"850","Stoneham Park Academy","Free Schools","Primary","None","","Eastleigh",""
147856,"936","Westvale Park Primary Academy","Free Schools","Primary","None","","Reigate and Banstead",""
148169,"936","Kingfield Primary School","Academies","Primary","Does not apply","","Woking",""
148213,"850","Awbridge Primary School","Academies","Primary","Does not apply","","Test Valley",""
148214,"850","Wellow Primary School","Academies","Primary","Does not apply","","Test Valley",""
148215,"850","Weyford Nursery and Primary Academy","Academies","Primary","Does not apply","","East Hampshire",""
148216,"850","Halterworth Primary School","Academies","Primary","Does not apply","","Test Valley",""
148385,"850","Marnel Junior School","Academies","Primary","Does not apply","","Basingstoke and Deane",""
148435,"936","Frimley CofE Junior School","Academies","Primary","Church of England","","Surrey Heath",""
148510,"936","St Edmund's Catholic Primary School","Academies","Primary","Roman Catholic","","Waverley",""