source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_offers_la,time_period,202122,Keep,fact_la,year_key,Extract first 4 digits
r_offers_la,time_identifier,Academic year,Reject,,,
r_offers_la,geographic_level,National,Reject,fact_la,,Filter to local authority
r_offers_la,country_code,E92000001,Keep,dim_la,country_code,
r_offers_la,country_name,England,Keep,dim_la,country,
r_offers_la,region_code,,Keep,dim_la,region_code,
r_offers_la,region_name,,Keep,dim_la,region,
r_offers_la,new_la_code,,Keep,dim_la,new_la_code,
r_offers_la,old_la_code,,Keep,dim_la,old_la_code,
r_offers_la,la_name,,Keep,dim_la,local_authority,
r_offers_la,school_phase,Primary,Reject,fact_la,,Go off nc_year_admission and use as NC Key
r_offers_la,nc_year_admission,:,Keep,fact_la,nc_key,
r_offers_la,admission_numbers,709911,Keep,fact_la,total_offers,
r_offers_la,applications_received,580771,Keep,fact_la,total_applications,
r_offers_la,online_applications,555594,Keep,fact_la,online_applications,
r_offers_la,online_apps_percent,95.66490062,Reject,,,
r_offers_la,no_of_preferences,:,Keep,fact_la,number_of_preferences,
r_offers_la,first_preference_offers,533014,Keep,fact_la,first_preference_offers,
r_offers_la,first_preference_offers_percent,91.77696545,Reject,,,
r_offers_la,second_preference_offers,28667,Keep,fact_la,second_preference_offers,
r_offers_la,second_preference_offers_percent,4.936024698,Reject,,,
r_offers_la,third_preference_offers,7216,Keep,fact_la,third_preference_offers,
r_offers_la,third_preference_offers_percent,1.242486281,Reject,,,
r_offers_la,one_of_the_three_preference_offers,568897,Keep,fact_la,one_of_the_three_preference_offers,
r_offers_la,one_of_the_three_preference_offers_percent,97.95547643,Reject,,,
r_offers_la,preferred_school_offer,571192,Keep,fact_la,preferred_school_offers,
r_offers_la,preferred_school_offer_percent,98.35064079,Reject,,,
r_offers_la,non_preferred_offer,8828,Keep,fact_la,non_preferred_offers,
r_offers_la,non_preferred_offer_percent,1.52004835,Reject,,,
r_offers_la,no_offer,751,Keep,fact_la,no_offer,
r_offers_la,no_offer_percent,0.129310864,Reject,,,
r_offers_la,schools_in_la_offer,562334,Keep,fact_la,schools_in_la_offers,
r_offers_la,schools_in_la_offer_percent,96.87463392,Reject,,,
r_offers_la,schools_in_another_la_offer,18142,Keep,fact_la,schools_in_another_la_offers,
r_offers_la,schools_in_another_la_offer_percent,3.125366079,Reject,,,
r_offers_la,offers_to_nonapplicants,456,Keep,fact_la,offers_to_nonapplicants,
r_offers_sch,filename,data-in/offers-school/2018_936_waverley_offers_school.csv,Reject,,,
r_offers_sch,intake_year,2018,Keep,fact_school,year_key,
r_offers_sch,school_name,All Saints Church of England (Aided) Infant School,Reject,,,
r_offers_sch,la_code,936,Keep,fact_school,la_key,Use to join to dim_la
r_offers_sch,estab_code,3407,Reject,,,
r_offers_sch,dfe_no,936/3407,Keep,fact_school,school_key,Use to join to dim_school
r_offers_sch,pan,30,Keep,fact_school,published_admission_number,
r_offers_sch,total_preferences,149,Keep,fact_school,total_applications,
r_offers_sch,total_offered,30,Keep,fact_school,total_offers,
r_offers_sch,last_distance_offered,4.19,Keep,fact_school,last_distance_offered,
r_offers_crit,filename,data-in/offers-criteria/2018_936_waverley_offers_crit.csv,Reject,,,
r_offers_crit,intake_year,2018,Keep,fact_criterion,year_key,
r_offers_crit,school_name,All Saints Church of England (Aided) Infant School,Reject,,,
r_offers_crit,la_code,936,Keep,fact_criterion,la_key,Use to join to dim_la
r_offers_crit,estab_code,3407,Reject,,,
r_offers_crit,dfe_no,936/3407,Keep,fact_criterion,school_key,Use to join to dim_school
r_offers_crit,criterion,LAC & PLAC,Keep,dim_criterion,criterion_name,
r_offers_crit,criterion_category,Priority,Keep,dim_criterion,criterion_category,
r_offers_crit,criterion_description,Looked after and previously looked after children,Keep,dim_criterion,criterion_description,
r_offers_crit,priority,1,Keep,fact_criterion,criterion_priority,
r_offers_crit,criterion_offers,0,Keep,fact_criterion,criterion_offers,
r_info,filename,data-in/info/20220425_gias.csv,Reject,fact_school,,Add field for year_key equal to most recent fact_school year
r_info,urn,1E+05,Keep,dim_school,urn,
r_info,la_code,201,Reject,,,
r_info,la_name,City of London,Reject,,,
r_info,establishment_number,3614,Keep,dim_school,establishment_number,
r_info,establishment_name,The Aldgate School,Keep,dim_school,school_name,
r_info,type_of_establishment_name,Voluntary aided school,Keep,dim_school,establishment_type,
r_info,establishment_type_group_name,Local authority maintained schools,Keep,dim_school,funding_type,
r_info,establishment_status_name,Open,Keep,dim_school,school_status,
r_info,reason_establishment_opened_name,Not applicable,Reject,,,
r_info,open_date,,Keep,dim_school,open_date,
r_info,reason_establishment_closed_name,Not applicable,Reject,,,
r_info,close_date,,Keep,dim_school,close_date,
r_info,phase_of_education_name,Primary,Keep,dim_school,phase_type,
r_info,statutory_low_age,3,Keep,dim_school,statutory_low_age,
r_info,statutory_high_age,11,Keep,dim_school,statutory_high_age,
r_info,boarders_name,No boarders,Reject,,,
r_info,nursery_provision_name,Has Nursery Classes,Reject,,,
r_info,official_sixth_form_name,Does not have a sixth form,Reject,,,
r_info,gender_name,Mixed,Reject,,,
r_info,religious_character_name,Church of England,Keep,dim_school,religious_character,
r_info,religious_ethos_name,Does not apply,Reject,,,
r_info,diocese_name,Diocese of London,Reject,,,
r_info,admissions_policy_name,Not applicable,Reject,,,
r_info,school_capacity,276,Keep,fact_school,school_capacity,Associate with most recent year
r_info,special_classes_name,No Special Classes,Reject,,,
r_info,census_date,21-01-2021,Reject,,,
r_info,number_of_pupils,270,Keep,fact_school,number_of_pupils,
r_info,number_of_boys,133,Keep,fact_school,number_of_boys,
r_info,number_of_girls,137,Keep,fact_school,number_of_girls,
r_info,percentage_fsm,13.7,Keep,fact_school,percentage_fsm,
r_info,trust_school_flag_name,Not applicable,Reject,,,
r_info,trusts_name,,Reject,,,
r_info,school_sponsor_flag_name,Not applicable,Reject,,,
r_info,school_sponsors_name,,Reject,,,
r_info,federation_flag_name,Not under a federation,Reject,,,
r_info,federations_name,,Reject,,,
r_info,ukprn,10079319,Reject,,,
r_info,fehe_identifier,,Reject,,,
r_info,further_education_type_name,Not applicable,Reject,,,
r_info,ofsted_last_insp,19-04-2013,Keep,fact_school,ofsted_last_insp,
r_info,last_changed_date,21-02-2022,Reject,,,
r_info,street,St James's Passage,Keep,dim_school,street,
r_info,locality,Duke's Place,Keep,dim_school,locality,
r_info,address3,,Keep,dim_school,address3,
r_info,town,London,Keep,dim_school,town,
r_info,county_name,,Keep,dim_school,county_name,
r_info,postcode,EC3A 5DE,Keep,dim_school,postcode,
r_info,school_website,www.thealdgateschool.org,Keep,dim_school,school_website,
r_info,telephone_num,2072831147,Keep,dim_school,telephone_num,
r_info,head_title_name,Miss,Keep,dim_school,head_title,
r_info,head_first_name,Alexandra,Keep,dim_school,head_first_name,
r_info,head_last_name,Allan,Keep,dim_school,head_last_name,
r_info,head_preferred_job_title,Headteacher,Keep,dim_school,head_preferred_job_title,
r_info,bso_inspectorate_name_name,Not applicable,Reject,,,
r_info,inspectorate_report,,Reject,,,
r_info,date_of_last_inspection_visit,,Reject,,,
r_info,next_inspection_visit,,Reject,,,
r_info,teen_moth_name,Not applicable,Reject,,,
r_info,teen_moth_places,,Reject,,,
r_info,ccf_name,Not applicable,Reject,,,
r_info,senpru_name,Not applicable,Reject,,,
r_info,ebd_name,Not applicable,Reject,,,
r_info,places_pru,,Reject,,,
r_info,ft_prov_name,,Reject,,,
r_info,ed_by_other_name,Not applicable,Reject,,,
r_info,section41approved_name,Not applicable,Reject,,,
r_info,sen1_name,,Reject,,,
r_info,sen2_name,,Reject,,,
r_info,sen3_name,,Reject,,,
r_info,sen4_name,,Reject,,,
r_info,sen5_name,,Reject,,,
r_info,sen6_name,,Reject,,,
r_info,sen7_name,,Reject,,,
r_info,sen8_name,,Reject,,,
r_info,sen9_name,,Reject,,,
r_info,sen10_name,,Reject,,,
r_info,sen11_name,,Reject,,,
r_info,sen12_name,,Reject,,,
r_info,sen13_name,,Reject,,,
r_info,type_of_resourced_provision_name,,Reject,,,
r_info,resourced_provision_on_roll,,Reject,,,
r_info,resourced_provision_capacity,,Reject,,,
r_info,sen_unit_on_roll,,Reject,,,
r_info,sen_unit_capacity,,Reject,,,
r_info,gor_name,London,Reject,,,
r_info,district_administrative_name,City of London,Keep,dim_school,administrative_district,
r_info,administrative_ward_name,Portsoken,Keep,dim_school,administrative_ward,
r_info,parliamentary_constituency_name,Cities of London and Westminster,Reject,,,
r_info,urban_rural_name,(England/Wales) Urban major conurbation,Reject,,,
r_info,gssla_code_name,E09000001,Reject,,,
r_info,easting,533498,Keep,dim_school,easting,Convert to lat/long
r_info,northing,181201,Keep,dim_school,northing,Convert to lat/long
r_info,msoa_name,City of London 001,Reject,,,
r_info,lsoa_name,City of London 001F,Reject,,,
r_info,inspectorate_name_name,,Reject,,,
r_info,sen_stat,,Reject,,,
r_info,sen_no_stat,,Reject,,,
r_info,props_name,,Reject,,,
r_info,ofsted_rating_name,Outstanding,Keep,fact_school,ofsted_rating_name,Also add ofsted_rating_score
r_info,rsc_region_name,North-West London and South-Central England,Reject,,,
r_info,country_name,,Reject,,,
r_info,uprn,200000071925,Reject,,,
r_info,site_name,,Reject,,,
r_info,qab_name_name,Not applicable,Reject,,,
r_info,establishment_accredited_name,Not applicable,Reject,,,
r_info,qab_report,,Reject,,,
r_info,ch_number,,Reject,,,
r_info,msoa_code,E02000001,Reject,,,
r_info,lsoa_code,E01032739,Reject,,,
r_info,fsm,37,Keep,fact_school,fsm,
r_info,linked_establishments,Does not have links,Keep,dim_school,linked_establishments,Pivot to include record
r_ks2,filename,data-in/ks2/2016-850-ks2.csv,Reject,fact_school,,Add field for year_key equal to most recent fact_school year
r_ks2,RECTYPE,1,Reject,fact_school,,Filter to RECTYPE = 1
r_ks2,ALPHAIND,11522,Reject,,,
r_ks2,LEA,850,Reject,,,
r_ks2,ESTAB,2229,Keep,fact_school,school_key,Combine to form Dfe Number and use to link to dim_school
r_ks2,URN,115976,Reject,,,
r_ks2,SCHNAME,Church Crookham Junior School,Reject,,,
r_ks2,ADDRESS1,Tweseldown Road,Reject,,,
r_ks2,ADDRESS2,Church Crookham,Reject,,,
r_ks2,ADDRESS3,,Reject,,,
r_ks2,TOWN,Fleet,Reject,,,
r_ks2,PCODE,GU52 8BN,Reject,,,
r_ks2,TELNUM,0125 2617664,Reject,,,
r_ks2,URN_AC,0,Reject,,,
r_ks2,SCHNAME_AC,,Reject,,,
r_ks2,OPEN_AC,,Reject,,,
r_ks2,NFTYPE,CY,Reject,,,
r_ks2,ICLOSE,0,Reject,,,
r_ks2,RELDENOM,Does not apply,Reject,,,
r_ks2,AGERANGE,7-11,Reject,,,
r_ks2,CONFEXAM,,Reject,,,
r_ks2,TAB15,0,Reject,,,
r_ks2,TAB1618,0,Reject,,,
r_ks2,TOTPUPS,465,Reject,,,
r_ks2,TPUPYEAR,107,Reject,,,
r_ks2,TELIG,109,Keep,fact_school,ks2_eligible_pupils,
r_ks2,BELIG,48,Keep,fact_school,ks2_eligible_boys,
r_ks2,GELIG,61,Keep,fact_school,ks2_eligible_girls,
r_ks2,PBELIG,44%,Reject,,,
r_ks2,PGELIG,56%,Reject,,,
r_ks2,TKS1AVERAGE,16.7,Reject,,,
r_ks2,TKS1GROUP_L,8,Reject,,,
r_ks2,PTKS1GROUP_L,7%,Reject,,,
r_ks2,TKS1GROUP_M,60,Reject,,,
r_ks2,PTKS1GROUP_M,56%,Reject,,,
r_ks2,TKS1GROUP_H,40,Reject,,,
r_ks2,PTKS1GROUP_H,37%,Reject,,,
r_ks2,TKS1GROUP_NA,1,Reject,,,
r_ks2,PTKS1GROUP_NA,1%,Reject,,,
r_ks2,TFSM6CLA1A,17,Reject,,,
r_ks2,PTFSM6CLA1A,16%,Reject,,,
r_ks2,TNotFSM6CLA1A,92,Reject,,,
r_ks2,PTNotFSM6CLA1A,84%,Reject,,,
r_ks2,TEALGRP2,8,Reject,,,
r_ks2,PTEALGRP2,7%,Reject,,,
r_ks2,TMOBN,98,Reject,,,
r_ks2,PTMOBN,90%,Reject,,,
r_ks2,TSENELSE,4,Reject,,,
r_ks2,PSENELSE,4%,Reject,,,
r_ks2,PTRWM_EXP,72%,Reject,,,
r_ks2,PTRWM_HIGH,17%,Reject,,,
r_ks2,READPROG,1.2,Keep,fact_school,ks2_reading_progress,
r_ks2,READPROG_LOWER,0.0,Reject,,,
